Date,Value,Date,Value,Date,Value,Date,Value,Date,Value
2016-05-09T10:55:00.000Z,6.678891182,2016-05-09T10:55:00.000Z,8.040766716,2016-05-09T10:55:00.000Z,8.247955,2016-05-09T10:55:00.000Z,5.035536,2016-05-09T10:55:00.000Z,6.477959156
2016-05-09T11:00:00.000Z,6.675303936,2016-05-09T11:00:00.000Z,8.051182747,2016-05-09T11:00:00.000Z,8.241622,2016-05-09T11:00:00.000Z,5.037978,2016-05-09T11:00:00.000Z,6.458767891
2016-05-09T11:05:00.000Z,6.646382,2016-05-09T11:05:00.000Z,8.061255,2016-05-09T11:05:00.000Z,8.229296684,2016-05-09T11:05:00.000Z,5.056024,2016-05-09T11:05:00.000Z,6.477235
2016-05-09T11:10:00.000Z,6.542520046,2016-05-09T11:10:00.000Z,8.056791306,2016-05-09T11:10:00.000Z,8.213306,2016-05-09T11:10:00.000Z,5.068388,2016-05-09T11:10:00.000Z,6.491771
2016-05-09T11:15:00.000Z,6.4353,2016-05-09T11:15:00.000Z,8.031112,2016-05-09T11:15:00.000Z,8.186864853,2016-05-09T11:15:00.000Z,5.060565948,2016-05-09T11:15:00.000Z,6.485552788
2016-05-09T11:20:00.000Z,6.197702,2016-05-09T11:20:00.000Z,8.042672157,2016-05-09T11:20:00.000Z,8.187168121,2016-05-09T11:20:00.000Z,5.076247,2016-05-09T11:20:00.000Z,6.480363
2016-05-09T11:25:00.000Z,5.903631,2016-05-09T11:25:00.000Z,8.045955,2016-05-09T11:25:00.000Z,8.153821,2016-05-09T11:25:00.000Z,5.070487022,2016-05-09T11:25:00.000Z,6.484827995
2016-05-09T12:20:00.000Z,9.595788956,2016-05-09T12:20:00.000Z,8.033059,2016-05-09T12:20:00.000Z,8.170383,2016-05-09T12:20:00.000Z,5.092504,2016-05-09T12:20:00.000Z,6.497384071
2016-05-09T12:25:00.000Z,9.6201334,2016-05-09T12:25:00.000Z,8.054542,2016-05-09T12:25:00.000Z,8.154127121,2016-05-09T12:25:00.000Z,5.081359863,2016-05-09T12:25:00.000Z,6.483491
2016-05-09T12:30:00.000Z,9.610059,2016-05-09T12:30:00.000Z,8.055189,2016-05-09T12:30:00.000Z,8.142986,2016-05-09T12:30:00.000Z,5.088305,2016-05-09T12:30:00.000Z,6.474755
2016-05-09T12:35:00.000Z,9.60532856,2016-05-09T12:35:00.000Z,8.067171097,2016-05-09T12:35:00.000Z,8.154969215,2016-05-09T12:35:00.000Z,5.087199211,2016-05-09T12:35:00.000Z,6.470023155
2016-05-09T12:40:00.000Z,9.614370346,2016-05-09T12:40:00.000Z,8.054196358,2016-05-09T12:40:00.000Z,8.162599,2016-05-09T12:40:00.000Z,5.086052895,2016-05-09T12:40:00.000Z,6.499442
2016-05-09T12:45:00.000Z,9.592698,2016-05-09T12:45:00.000Z,8.069765091,2016-05-09T12:45:00.000Z,8.14646,2016-05-09T12:45:00.000Z,5.092617989,2016-05-09T12:45:00.000Z,6.478303
2016-05-09T12:50:00.000Z,9.599945,2016-05-09T12:50:00.000Z,8.057173,2016-05-09T12:50:00.000Z,8.170498,2016-05-09T12:50:00.000Z,5.09651,2016-05-09T12:50:00.000Z,6.46926
2016-05-09T12:55:00.000Z,9.604334,2016-05-09T12:55:00.000Z,8.093268,2016-05-09T12:55:00.000Z,8.166644,2016-05-09T12:55:00.000Z,5.10227108,2016-05-09T12:55:00.000Z,6.513672829
2016-05-09T13:00:00.000Z,9.585485458,2016-05-09T13:00:00.000Z,8.049158096,2016-05-09T13:00:00.000Z,8.215943336,2016-05-09T13:00:00.000Z,5.083955765,2016-05-09T13:00:00.000Z,6.452850819
2016-05-09T13:05:00.000Z,9.565184593,2016-05-09T13:05:00.000Z,8.06366,2016-05-09T13:05:00.000Z,8.213117599,2016-05-09T13:05:00.000Z,5.111199856,2016-05-09T13:05:00.000Z,6.499976158
2016-05-09T13:10:00.000Z,9.609144211,2016-05-09T13:10:00.000Z,8.092275,2016-05-09T13:10:00.000Z,8.220254,2016-05-09T13:10:00.000Z,5.082774,2016-05-09T13:10:00.000Z,6.42457819
2016-05-09T13:15:00.000Z,9.583999,2016-05-09T13:15:00.000Z,8.088958,2016-05-09T13:15:00.000Z,8.20998764,2016-05-09T13:15:00.000Z,5.095973,2016-05-09T13:15:00.000Z,6.405005
2016-05-09T13:20:00.000Z,9.599868774,2016-05-09T13:20:00.000Z,8.080827713,2016-05-09T13:20:00.000Z,8.199762,2016-05-09T13:20:00.000Z,5.098417,2016-05-09T13:20:00.000Z,6.44732
2016-05-09T13:25:00.000Z,9.609181,2016-05-09T13:25:00.000Z,8.072205544,2016-05-09T13:25:00.000Z,8.208348,2016-05-09T13:25:00.000Z,5.081019,2016-05-09T13:25:00.000Z,6.37055
2016-05-09T13:30:00.000Z,9.576404572,2016-05-09T13:30:00.000Z,8.064496994,2016-05-09T13:30:00.000Z,8.203884125,2016-05-09T13:30:00.000Z,5.114101,2016-05-09T13:30:00.000Z,6.353456
